five_digit_FIPS_code,Total People with Insurance
35027,19346
35005,64465
35025,67623
35049,145821
35059,3601
35051,11005
35053,17002
35041,18717
35028,17947
35039,39215
35047,27631
35035,59882
35061,74349
35057,14921
35001,667841
35006,25336
35011,1989
35019,3783
35003,3539
35023,4351
35029,23948
35031,72505
35043,137964
35055,32624
35017,27951
35009,47717
35007,12012
35015,56148
35021,544
35033,4605
36095,31535
36005,1434422
36067,462658
36035,53200
36019,76759
36099,32036
36083,158043
36079,98891
36033,46282
36043,62282
36069,108600
36081,2324280
36101,96379
36041,4612
36115,59170
36013,128249
36047,2623350
36061,1643228
36107,48942
36011,74877
36073,38971
36091,223481
36087,322811
36021,59819
36049,26485
36063,210660
36119,962824
36025,45478
36031,35897
36057,48717
36059,1353154
36085,471955
36089,107198
36097,17876
36109,103532
36113,64154
36017,48177
36023,47867
36027,287723
36045,104191
36055,741530
36065,224652
36103,1483523
36111,175816
36121,37617
36015,83346
36051,61781
36075,119166
36077,60089
36039,44874
36117,90522
36001,304767
36003,46918
36007,193241
36009,77388
36029,912268
36053,71200
36093,153486
36105,73419
36037,58079
36123,24730
36071,369083
37165,33477
37189,53092
37083,50897
37001,156660
37177,3480
37079,18864
37087,59410
37121,15036
37041,14100
37005,10812
37027,80979
37035,154701
37045,96786
37049,95058
37065,53260
37077,55754
37085,122560
37093,48448
37089,111062
37095,4853
37097,168622
37119,1028876
37131,19632
37147,175431
37159,136570
37181,43979
37039,27175
37053,24904
37179,221079
37193,67722
37067,365252
37127,92801
37003,35923
37017,33803
37055,35239
37031,67074
37185,19271
37195,80308
37015,18658
37073,11518
37075,8493
37117,23075
37115,21114
37137,12134
37143,13354
37149,20148
37151,141584
37157,90460
37169,45675
37187,12141
37029,10218
37043,10716
37051,300902
37071,212011
37081,513206
37099,41452
37125,91293
37139,38101
37155,132407
37167,59526
37173,14026
37183,1015242
37199,17427
37007,23748
37037,67647
37111,44180
37069,62896
37101,184634
37103,9686
37113,33954
37145,38813
37019,121634
37175,32816
37009,26594
37013,46957
37047,53778
37107,56794
37109,79907
37123,26500
37133,153922
37135,141148
37153,44066
37161,65620
37163,63040
37171,71514
37197,37534
37011,15412
37021,248611
37023,86617
37025,195309
37033,21970
37059,41422
37057,162246
37061,58894
37063,295299
37091,22145
37105,58597
37129,217425
37141,56059
37191,120019
38013,2251
38061,9901
38097,7861
38105,32554
38007,983
38021,4902
38043,2453
38019,3719
38101,65462
38037,2338
38049,5869
38067,6862
38091,1915
38005,6861
38041,2439
38045,4034
38059,29494
38017,169233
38025,4295
38029,3334
38051,2571
38063,2891
38077,16177
38079,14539
38099,10736
38001,2316
38009,6483
38003,10775
38027,2248
38035,67954
38053,11594
38057,8514
38055,9419
38069,4093
38073,5259
38075,2474
38085,4381
38011,3165
38015,90369
38033,1836
38047,1856
38065,1817
38095,2229
38093,20157
38071,11098
38023,2295
38031,3243
38039,2179
38081,3844
38083,1403
38087,674
38089,29932
38103,3998
39053,29822
39077,57967
39099,227056
39009,64883
39001,27656
39145,74052
39103,175201
39105,23031
39159,51476
39021,38525
39131,27954
39125,18845
39057,160786
39061,800780
39049,1245449
39087,60474
39101,59921
39115,14589
39157,91574
39169,114790
39175,21928
39015,43252
39017,372296
39043,74420
39067,15136
39083,60352
39089,169335
39139,114868
39163,13065
39019,27540
39063,74673
39025,200864
39045,148789
39039,38007
39071,42611
39069,27056
39081,66602
39133,161013
39137,33778
39013,65032
39027,41542
39047,28227
39127,35728
39129,52578
39091,44989
39097,38792
39153,536137
39119,85105
39143,58686
39149,48565
39161,27985
39167,60177
39171,35876
39011,45256
39029,101017
39037,51295
39123,40364
39051,41902
39065,31383
39079,32289
39095,428267
39117,34670
39121,11973
39135,40991
39147,54607
39151,369531
39003,101696
39031,36206
39033,41665
39041,192150
39055,93218
39059,38938
39073,27897
39085,227606
39107,40331
39141,71395
39023,133707
39035,1242429
39075,42998
39093,298973
39109,103188
39111,14095
39113,523788
39155,199734
39165,216797
39173,128164
39005,52713
39007,95570
40001,22006
40133,24787
40137,43669
40025,2197
40011,8178
40019,47753
40029,5598
40053,4375
40055,4986
40073,15350
40087,37598
40091,19577
40095,15974
40099,13411
40103,11325
40105,10254
40115,31274
40131,89050
40135,40984
40145,76551
40003,4830
40151,8512
40015,28419
40027,268406
40101,66591
40107,11177
40005,12255
40013,44611
40043,4801
40059,3824
40071,44496
40083,44956
40035,13817
40143,632310
40147,51477
40017,131086
40057,2655
40061,12686
40077,10424
40111,38447
40113,45964
40139,21285
40067,6126
40127,11013
40047,60342
40049,27502
40069,10911
40121,42801
40123,37829
40129,3715
40153,20142
40021,47972
40041,41497
40045,4060
40051,53846
40119,79490
40125,69464
40037,70086
40141,7237
40149,11292
40033,5858
40075,8933
40079,48731
40089,32623
40093,7636
40097,40487
40109,761515
40039,28686
40007,5361
40085,9758
40009,21284
40063,11894
40023,14804
40065,24107
40031,110771
40081,34384
40117,16286
41047,323937
41029,210868
41019,106896
41023,7087
41031,21943
41053,79298
41005,398339
41017,174746
41043,120409
41057,25201
41071,100149
41001,15491
41033,83876
41035,65424
41059,72331
41041,46983
41003,87986
41009,49946
41013,21644
41055,1634
41065,25272
41025,7090
41039,361882
41045,27073
41063,6763
